ordem,vertice,lat,long,azimute,distancia,confrontante,matricula_conf,cns_conf
1,A2F-M-6375,"9°11'50,695""","35°22'10,663""",138°24',304.44,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
2,A2F-M-6413,"9°11'58,106""","35°22'04,042""",97°01',101.75,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
3,A2F-M-6374,"9°11'58,510""","35°22'00,734""",87°21',73.58,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
4,A2F-M-6373,"9°11'58,400""","35°21'58,327""",89°31',71.66,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
5,A2F-M-6372,"9°11'58,381""","35°21'55,979""",83°45',98.00,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
6,A2F-M-6371,"9°11'58,034""","35°21'52,788""",91°51',160.58,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
7,A2F-M-6370,"9°11'58,204""","35°21'47,530""",87°59',73.18,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
8,A2F-M-6369,"9°11'58,120""","35°21'45,135""",103°53',116.71,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
9,A2F-M-6368,"9°11'59,032""","35°21'41,423""",122°19',32.84,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
10,A2F-M-6367,"9°11'59,604""","35°21'40,514""",105°26',172.43,P.A. ALEXSANDER CAUCHIAREIAS,2093,00.326-9
11,A2F-M-6366,"9°12'01,099""","35°21'35,070""",192°20',77.52,FAZENDA NOSSA SENHORA DE LOURDES,,
12,SHLX-P-2370,"9°12'03,563""","35°21'35,613""",182°40',24.87,FAZENDA NOSSA SENHORA DE LOURDES,,
13,SHLX-P-2371,"9°12'04,372""","35°21'35,651""",179°48',53.52,FAZENDA NOSSA SENHORA DE LOURDES,,
14,SHLX-P-2372,"9°12'06,114""","35°21'35,645""",192°40',35.50,FAZENDA NOSSA SENHORA DE LOURDES,,
15,SHLX-P-2373,"9°12'07,241""","35°21'35,900""",191°04',135.04,FAZENDA NOSSA SENHORA DE LOURDES,,
16,SHLX-P-2374,"9°12'11,555""","35°21'36,750""",187°34',41.72,FAZENDA NOSSA SENHORA DE LOURDES,,
17,SHLX-M-1465,"9°12'12,901""","35°21'36,930""",188°17',31.08,FAZENDA NOSSA SENHORA DE LOURDES,,
18,SHLX-P-2375,"9°12'13,902""","35°21'37,077""",188°23',62.98,EURICO FONSECA DE MENDONCA UCHOA,,
19,SHLX-P-2376,"9°12'15,930""","35°21'37,378""",190°40',100.33,EURICO FONSECA DE MENDONCA UCHOA,,
20,SHLX-P-2377,"9°12'19,139""","35°21'37,987""",197°19',157.44,EURICO FONSECA DE MENDONCA UCHOA,,
21,SHLX-P-2378,"9°12'24,031""","35°21'39,522""",195°16',267.93,EURICO FONSECA DE MENDONCA UCHOA,,
22,SHLX-P-2379,"9°12'32,444""","35°21'41,835""",195°09',221.99,EURICO FONSECA DE MENDONCA UCHOA,,
23,SHLX-M-0131,"9°12'39,418""","35°21'43,736""",299°44',19.33,GILSON DE MOURA CARVALHO,,
24,SHLX-P-2380,"9°12'39,106""","35°21'44,286""",313°11',23.75,GILSON DE MOURA CARVALHO,,
25,SHLX-P-2381,"9°12'38,577""","35°21'44,853""",301°37',58.19,GILSON DE MOURA CARVALHO,,
26,SHLX-P-2382,"9°12'37,584""","35°21'46,476""",325°46',23.33,GILSON DE MOURA CARVALHO,,
27,SHLX-P-2383,"9°12'36,956""","35°21'46,906""",317°51',26.95,GILSON DE MOURA CARVALHO,,
